A-site,r_A.eff,P_A,A_HOMO,A_LUMO
NH2NH3,2.17,2.603313579,-12.982,-6.67
CH3NH3,2.17,2.96816307,-15.735,-6.3820000000000014
(CH2)3NH2,2.5,5.406571467000001,-13.364,-5.8210000000000015
HC(NH2)2,2.53,2.502999555,-13.03,-7.412000000000001
C3H5N2,2.58,5.5592049810000015,-11.781,-6.765
(CH3)4N,2.72,7.462430209,-13.042,-10.811
CH3CH2NH3,2.74,5.101102175,-13.718,-5.9929999999999986
C(NH2)3,2.78,5.961080732999999,-12.182,-5.848
(CH3)3NH,2.86,6.683884325,-14.597,-5.351
(CH3)2CHNH3,2.91,6.934047795,-13.349,-5.75
CH3C(NH2)2,3.0,6.6276096089999985,-12.487,-6.831
