B-site,χ_B,r_B_s+p,r_B,IE_B,P_B,EA_B,IC_B,1st_IP_B,VE_B,B_d-electron,B_p-electron,B_s-electron,B_f-electron
Ag,1.07,2.375,0.94,21.47746,7.2,1.3019999999999998,45,7.58,9,19,18,8,0
As,2.27,1.415,0.71,18.5892,4.31,0.804,31,9.81,3,10,13,8,0
Au,1.19,2.66,0.805,20.2,5.8,2.30863,77,9.23,9,29,24,10,14
Ba,1.08,3.402,1.35,10.00383,39.7,0.14462,54,5.21,0,20,24,10,0
Bi,2.14,1.997,1.19,16.703,7.4,0.942362,81,7.29,3,30,25,12,14
Ca,1.17,3.0,1.0,11.87172,25.0,0.02455,18,6.11,0,0,12,6,0
Cd,1.4,2.215,0.95,16.90831,7.36,0.3983,46,8.99,10,20,18,8,0
Cu,1.9,2.04,0.73,20.2924,6.1,1.235,27,7.73,9,9,12,6,0
Ge,2.01,1.56,0.73,15.93461,5.84,1.232712,30,7.9,2,10,12,8,0
Hf,1.73,2.91,1.08,15.0,16.2,0.014,70,6.83,2,22,24,10,14
In,1.63,2.05,0.985,18.8703,9.1,0.3,47,5.79,1,20,18,9,0
Mg,1.31,2.03,0.72,15.03527,10.6,0.2623,10,7.65,0,0,6,4,0
Mo,1.94,2.72,0.9,16.16,12.8,0.748,40,7.09,4,14,18,8,0
Nb,2.03,2.79,0.99,14.0,15.7,0.916,39,6.76,3,13,18,8,0
Ni,1.76,2.18,0.69,18.16884,6.8,1.156,26,7.64,8,8,12,6,0
P,2.32,1.24,0.63,19.7695,3.63,0.746607,13,10.49,3,0,7,6,0
Pb,1.8,2.09,1.19,15.03248,6.98,0.364,80,7.42,2,30,24,12,14
Pd,2.08,2.45,0.86,19.43,4.8,0.562,44,8.34,8,18,18,8,0
Re,2.06,2.68,0.85,17.833,9.7,0.15,73,7.88,5,25,24,10,14
Rh,1.99,2.52,0.84,18.08,8.6,1.137,43,7.46,7,17,18,8,0
Sb,2.14,1.765,1.18,16.63,6.6,1.046,49,8.54,3,20,19,10,0
Sc,1.5,2.75,0.94,12.79977,17.8,0.188,19,6.56,1,1,12,6,0
Si,1.98,1.42,0.65,16.54584,5.53,1.3895211,12,8.15,2,0,6,6,0
Sn,1.96,1.88,1.12,14.6322,6.28,1.112067,48,7.34,2,10,18,10,0
Sr,1.13,3.21,1.18,11.0301,27.6,0.048,36,5.7,0,10,18,8,0
Ta,1.94,2.79,0.98,15.5,13.1,0.322,71,7.89,3,23,24,10,14
Ti,1.86,2.58,0.86,13.5755,14.6,0.079,20,6.83,2,5,12,6,0
Tl,1.69,2.235,1.4,20.4283,7.5,0.377,79,6.11,1,30,24,11,14
V,2.22,2.43,0.79,14.618,12.4,0.525,21,6.75,3,3,12,6,0
W,1.79,2.735,0.91,16.1,11.1,0.81626,72,7.98,4,24,24,10,14
Y,1.41,2.94,1.145,12.224,22.7,0.307,37,6.22,1,11,18,8,0
Zr,1.7,2.825,1.12,13.1,17.9,0.426,38,6.63,2,12,18,8,0
