number,reg_score,feature_list
29,0.9593338188806523,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'A_HOMO' 'χ_B' 'r_B_s+p' 'A_LUMO' 'r_B'
 'IE_B' 'P_B' 'EA_B' 'X_p-electron' 'IC_B' '1st_IP_B' 'VE_B'
 'B_d-electron' '1st_IP_X' 'χ_X' 'P_X' 'IC_X' 'r_X_s+p' 'r_X'
 'X_s-electron' 'B_p-electron' 'EA_X' 'B_s-electron' 'X_d-electron'
 'X_f-electron']"
28,0.9598109771653063,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'A_HOMO' 'χ_B' 'r_B_s+p' 'A_LUMO' 'r_B'
 'IE_B' 'P_B' 'EA_B' 'X_p-electron' 'IC_B' '1st_IP_B' 'VE_B'
 'B_d-electron' '1st_IP_X' 'χ_X' 'P_X' 'IC_X' 'r_X_s+p' 'r_X'
 'X_s-electron' 'B_p-electron' 'EA_X' 'B_s-electron' 'X_d-electron']"
27,0.9593472410186241,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'A_HOMO' 'χ_B' 'r_B_s+p' 'A_LUMO' 'r_B'
 'IE_B' 'P_B' 'EA_B' 'X_p-electron' 'IC_B' '1st_IP_B' 'VE_B'
 'B_d-electron' '1st_IP_X' 'χ_X' 'P_X' 'IC_X' 'r_X_s+p' 'r_X'
 'X_s-electron' 'EA_X' 'B_s-electron' 'X_d-electron']"
26,0.9583802448836964,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'A_HOMO' 'χ_B' 'r_B_s+p' 'A_LUMO' 'r_B'
 'IE_B' 'P_B' 'EA_B' 'X_p-electron' 'IC_B' '1st_IP_B' 'VE_B' '1st_IP_X'
 'χ_X' 'P_X' 'IC_X' 'r_X_s+p' 'r_X' 'X_s-electron' 'EA_X' 'B_s-electron'
 'X_d-electron']"
25,0.9597152842160089,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'A_HOMO' 'χ_B' 'r_B_s+p' 'A_LUMO' 'r_B'
 'IE_B' 'P_B' 'EA_B' 'X_p-electron' '1st_IP_B' 'VE_B' '1st_IP_X' 'χ_X'
 'P_X' 'IC_X' 'r_X_s+p' 'r_X' 'X_s-electron' 'EA_X' 'B_s-electron'
 'X_d-electron']"
24,0.9587701950700424,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'A_HOMO' 'χ_B' 'r_B_s+p' 'A_LUMO' 'r_B'
 'IE_B' 'P_B' 'EA_B' 'X_p-electron' '1st_IP_B' 'VE_B' '1st_IP_X' 'χ_X'
 'IC_X' 'r_X_s+p' 'r_X' 'X_s-electron' 'EA_X' 'B_s-electron'
 'X_d-electron']"
23,0.9599124272506874,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'A_HOMO' 'χ_B' 'r_B_s+p' 'A_LUMO' 'r_B'
 'IE_B' 'P_B' 'EA_B' 'X_p-electron' '1st_IP_B' 'VE_B' '1st_IP_X' 'χ_X'
 'IC_X' 'r_X_s+p' 'r_X' 'X_s-electron' 'EA_X' 'B_s-electron']"
22,0.9600361764554923,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'A_HOMO' 'χ_B' 'r_B_s+p' 'A_LUMO' 'r_B'
 'IE_B' 'P_B' 'EA_B' 'X_p-electron' '1st_IP_B' 'VE_B' '1st_IP_X' 'χ_X'
 'r_X_s+p' 'r_X' 'X_s-electron' 'EA_X' 'B_s-electron']"
21,0.9595045364003353,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'A_HOMO' 'χ_B' 'r_B_s+p' 'r_B' 'IE_B' 'P_B'
 'EA_B' 'X_p-electron' '1st_IP_B' 'VE_B' '1st_IP_X' 'χ_X' 'r_X_s+p' 'r_X'
 'X_s-electron' 'EA_X' 'B_s-electron']"
20,0.9581502627330549,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'A_HOMO' 'χ_B' 'r_B_s+p' 'r_B' 'IE_B' 'P_B'
 'EA_B' 'X_p-electron' '1st_IP_B' 'VE_B' '1st_IP_X' 'χ_X' 'r_X_s+p' 'r_X'
 'X_s-electron' 'B_s-electron']"
