number,reg_score,adj. r**2,feature_list
30,0.8918571572178134,0.18163675552255842,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, B_d-electron, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron, B_f-electron, X_f-electron"
29,0.8912869646892367,0.25233619427255516,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, B_d-electron, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron, X_f-electron"
28,0.9105113504220697,0.43010306415806965,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, B_d-electron, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
27,0.9058577744680152,0.4479332540435247,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
26,0.9028615830905596,0.4718829663451186,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
25,0.8867865316544602,0.43037427392999184,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, EA_X, B_s-electron, X_d-electron"
24,0.9085306316233339,0.5635697714947352,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, EA_X, X_d-electron"
23,0.8966765617970607,0.5388914270028187,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, EA_X"
22,0.9064599473354231,0.6037103024963069,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, EA_X"
21,0.9050954233523956,0.6193636323651623,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X, X_s-electron, EA_X"
20,0.8836757266881179,0.5617655798755465,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, P_X, IC_X, r_X, X_s-electron, EA_X"
19,0.9017483971337072,0.6440955652061148,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, P_X, r_X, X_s-electron, EA_X"
