number,reg_score,adj. r**2,feature_list
30,0.9547649671230306,0.6463045697817669,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, B_d-electron, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron, B_f-electron, X_f-electron"
29,0.9559040742509184,0.6863730878891103,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, B_d-electron, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron, B_f-electron"
28,0.951422653128112,0.6840168829511193,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, B_d-electron, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
27,0.9562003287989582,0.7363663655238026,"T_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, B_d-electron, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
26,0.955413273442466,0.7508986373429948,"T_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
25,0.955261390163079,0.7667315294301286,"T_f, r_A.eff, P_A, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
24,0.9530610587059167,0.7708134540541072,"T_f, r_A.eff, P_A, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
23,0.9519913070118948,0.7794998791205078,"T_f, r_A.eff, P_A, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, X_d-electron"
22,0.9540704371504017,0.800556442320797,"T_f, r_A.eff, P_A, χ_B, r_B_s+p, A_LUMO, IE_B, P_B, EA_B, X_p-electron, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, X_d-electron"
21,0.9547091779666395,0.8136202410394451,"T_f, r_A.eff, P_A, χ_B, r_B_s+p, A_LUMO, IE_B, P_B, EA_B, X_p-electron, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, X_d-electron"
