number,reg_score,adj. r**2,feature_list
30,0.9283602812859125,0.44741124747703465,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, B_d-electron, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron, B_f-electron, X_f-electron"
29,0.9264262461784996,0.48460214403049395,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, B_d-electron, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron, B_f-electron"
28,0.9246492275614226,0.5165873134331185,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, B_d-electron, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
27,0.923759317349479,0.5487116196614632,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, r_B, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
26,0.9301865114472974,0.6149912745099801,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, B_p-electron, EA_X, B_s-electron, X_d-electron"
25,0.9262310217583194,0.6210770817798943,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, EA_X, B_s-electron, X_d-electron"
24,0.9255234922738166,0.6414843368768035,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, A_LUMO, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, EA_X, X_d-electron"
23,0.9239555320909861,0.6557501771330289,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, r_X, X_s-electron, EA_X, X_d-electron"
22,0.9262367894249054,0.6842546446314588,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, X_s-electron, EA_X, X_d-electron"
21,0.9239712862413133,0.6920482901019513,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, P_X, IC_X, r_X_s+p, EA_X, X_d-electron"
20,0.9254039490125495,0.7127449376960426,"T_f, O_f, r_A.eff, P_A, A_HOMO, χ_B, r_B_s+p, IE_B, P_B, EA_B, X_p-electron, IC_B, 1st_IP_B, VE_B, 1st_IP_X, χ_X, IC_X, r_X_s+p, EA_X, X_d-electron"
